"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","489","Senaryo 9: Ürün Detay Sayfası","chromium","Thu Apr 16 14:54:24 UTC 2026","passed","Thu Apr 16 14:54:24 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","535","Senaryo 2: Hatalı Login","firefox","Thu Apr 16 14:54:29 UTC 2026","passed","Thu Apr 16 14:54:29 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1709","Senaryo 8: Logout İşlemi","firefox","Thu Apr 16 14:54:34 UTC 2026","passed","Thu Apr 16 14:54:36 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","769","Senaryo 1: Başarılı Login","chromium","Thu Apr 16 14:54:16 UTC 2026","passed","Thu Apr 16 14:54:16 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","933","Senaryo 3: Ürün Sepete Ekleme","firefox","Thu Apr 16 14:54:29 UTC 2026","passed","Thu Apr 16 14:54:30 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","585","Senaryo 5: Ürün Sıralama (Price Low to High)","chromium","Thu Apr 16 14:54:20 UTC 2026","passed","Thu Apr 16 14:54:21 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","648","Senaryo 1: Başarılı Login","firefox","Thu Apr 16 14:54:28 UTC 2026","passed","Thu Apr 16 14:54:29 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","950","Senaryo 7: Checkout - Zorunlu Alan Kontrolü","firefox","Thu Apr 16 14:54:33 UTC 2026","passed","Thu Apr 16 14:54:34 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","610","Senaryo 7: Checkout - Zorunlu Alan Kontrolü","chromium","Thu Apr 16 14:54:22 UTC 2026","passed","Thu Apr 16 14:54:22 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1141","Senaryo 6: Başarılı Checkout","firefox","Thu Apr 16 14:54:32 UTC 2026","passed","Thu Apr 16 14:54:33 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","581","Senaryo 2: Hatalı Login","firefox","Thu Apr 16 14:54:28 UTC 2026","passed","Thu Apr 16 14:54:28 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","432","Senaryo 2: Hatalı Login","chromium","Thu Apr 16 14:54:19 UTC 2026","passed","Thu Apr 16 14:54:19 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","595","Senaryo 10: Cross-browser / Smoke Test","firefox","Thu Apr 16 14:54:37 UTC 2026","passed","Thu Apr 16 14:54:37 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1477","Senaryo 8: Logout İşlemi","chromium","Thu Apr 16 14:54:22 UTC 2026","passed","Thu Apr 16 14:54:24 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","696","Senaryo 4: Sepetten Ürün Çıkarma","chromium","Thu Apr 16 14:54:20 UTC 2026","passed","Thu Apr 16 14:54:20 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","402","Senaryo 10: Cross-browser / Smoke Test","chromium","Thu Apr 16 14:54:24 UTC 2026","passed","Thu Apr 16 14:54:25 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","842","Senaryo 6: Başarılı Checkout","chromium","Thu Apr 16 14:54:21 UTC 2026","passed","Thu Apr 16 14:54:22 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","547","Senaryo 1: Başarılı Login","chromium","Thu Apr 16 14:54:18 UTC 2026","passed","Thu Apr 16 14:54:19 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","509","Senaryo 2: Hatalı Login","chromium","Thu Apr 16 14:54:17 UTC 2026","passed","Thu Apr 16 14:54:18 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","678","Senaryo 3: Ürün Sepete Ekleme","chromium","Thu Apr 16 14:54:19 UTC 2026","passed","Thu Apr 16 14:54:20 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","851","Senaryo 9: Ürün Detay Sayfası","firefox","Thu Apr 16 14:54:36 UTC 2026","passed","Thu Apr 16 14:54:37 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","838","Senaryo 4: Sepetten Ürün Çıkarma","firefox","Thu Apr 16 14:54:30 UTC 2026","passed","Thu Apr 16 14:54:31 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1506","Senaryo 1: Başarılı Login","firefox","Thu Apr 16 14:54:25 UTC 2026","passed","Thu Apr 16 14:54:27 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","752","Senaryo 5: Ürün Sıralama (Price Low to High)","firefox","Thu Apr 16 14:54:31 UTC 2026","passed","Thu Apr 16 14:54:32 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
