"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","617","Senaryo 2: Hatalı Login","chromium","Thu Apr 16 21:46:23 UTC 2026","passed","Thu Apr 16 21:46:24 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","781","Senaryo 9: Ürün Detay Sayfası","firefox","Thu Apr 16 21:46:44 UTC 2026","passed","Thu Apr 16 21:46:45 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","657","Senaryo 1: Başarılı Login","chromium","Thu Apr 16 21:46:24 UTC 2026","passed","Thu Apr 16 21:46:24 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1346","Senaryo 6: Başarılı Checkout","firefox","Thu Apr 16 21:46:40 UTC 2026","passed","Thu Apr 16 21:46:41 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","851","Senaryo 3: Ürün Sepete Ekleme","chromium","Thu Apr 16 21:46:25 UTC 2026","passed","Thu Apr 16 21:46:26 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","735","Senaryo 1: Başarılı Login","firefox","Thu Apr 16 21:46:36 UTC 2026","passed","Thu Apr 16 21:46:36 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1059","Senaryo 4: Sepetten Ürün Çıkarma","firefox","Thu Apr 16 21:46:38 UTC 2026","passed","Thu Apr 16 21:46:39 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1666","Senaryo 8: Logout İşlemi","chromium","Thu Apr 16 21:46:29 UTC 2026","passed","Thu Apr 16 21:46:31 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","534","Senaryo 2: Hatalı Login","chromium","Thu Apr 16 21:46:24 UTC 2026","passed","Thu Apr 16 21:46:25 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","790","Senaryo 5: Ürün Sıralama (Price Low to High)","chromium","Thu Apr 16 21:46:27 UTC 2026","passed","Thu Apr 16 21:46:28 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","670","Senaryo 10: Cross-browser / Smoke Test","firefox","Thu Apr 16 21:46:45 UTC 2026","passed","Thu Apr 16 21:46:46 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1788","Senaryo 8: Logout İşlemi","firefox","Thu Apr 16 21:46:42 UTC 2026","passed","Thu Apr 16 21:46:44 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","838","Senaryo 4: Sepetten Ürün Çıkarma","chromium","Thu Apr 16 21:46:26 UTC 2026","passed","Thu Apr 16 21:46:27 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1065","Senaryo 6: Başarılı Checkout","chromium","Thu Apr 16 21:46:28 UTC 2026","passed","Thu Apr 16 21:46:29 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","875","Senaryo 5: Ürün Sıralama (Price Low to High)","firefox","Thu Apr 16 21:46:39 UTC 2026","passed","Thu Apr 16 21:46:40 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","641","Senaryo 9: Ürün Detay Sayfası","chromium","Thu Apr 16 21:46:31 UTC 2026","passed","Thu Apr 16 21:46:32 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","677","Senaryo 2: Hatalı Login","firefox","Thu Apr 16 21:46:35 UTC 2026","passed","Thu Apr 16 21:46:36 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","813","Senaryo 1: Başarılı Login","chromium","Thu Apr 16 21:46:21 UTC 2026","passed","Thu Apr 16 21:46:22 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","1007","Senaryo 7: Checkout - Zorunlu Alan Kontrolü","firefox","Thu Apr 16 21:46:41 UTC 2026","passed","Thu Apr 16 21:46:42 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","720","Senaryo 7: Checkout - Zorunlu Alan Kontrolü","chromium","Thu Apr 16 21:46:29 UTC 2026","passed","Thu Apr 16 21:46:29 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","549","Senaryo 10: Cross-browser / Smoke Test","chromium","Thu Apr 16 21:46:32 UTC 2026","passed","Thu Apr 16 21:46:32 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1525","Senaryo 1: Başarılı Login","firefox","Thu Apr 16 21:46:33 UTC 2026","passed","Thu Apr 16 21:46:34 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","917","Senaryo 3: Ürün Sepete Ekleme","firefox","Thu Apr 16 21:46:37 UTC 2026","passed","Thu Apr 16 21:46:38 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","649","Senaryo 2: Hatalı Login","firefox","Thu Apr 16 21:46:36 UTC 2026","passed","Thu Apr 16 21:46:37 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
