"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","739","Senaryo 1: Başarılı Login","firefox","Sat Apr 18 22:59:44 UTC 2026","passed","Sat Apr 18 22:59:45 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","835","Senaryo 1: Başarılı Login","chromium","Sat Apr 18 22:59:31 UTC 2026","passed","Sat Apr 18 22:59:32 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","694","Senaryo 10: Cross-browser / Smoke Test","firefox","Sat Apr 18 22:59:54 UTC 2026","passed","Sat Apr 18 22:59:55 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1090","Senaryo 3: Ürün Sepete Ekleme","firefox","Sat Apr 18 22:59:46 UTC 2026","passed","Sat Apr 18 22:59:47 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","652","Senaryo 9: Ürün Detay Sayfası","chromium","Sat Apr 18 22:59:40 UTC 2026","passed","Sat Apr 18 22:59:40 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1650","Senaryo 8: Logout İşlemi","chromium","Sat Apr 18 22:59:38 UTC 2026","passed","Sat Apr 18 22:59:40 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","771","Senaryo 7: Checkout - Zorunlu Alan Kontrolü","chromium","Sat Apr 18 22:59:37 UTC 2026","passed","Sat Apr 18 22:59:38 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","618","Senaryo 2: Hatalı Login","chromium","Sat Apr 18 22:59:32 UTC 2026","passed","Sat Apr 18 22:59:33 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","636","Senaryo 2: Hatalı Login","firefox","Sat Apr 18 22:59:45 UTC 2026","passed","Sat Apr 18 22:59:46 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","836","Senaryo 4: Sepetten Ürün Çıkarma","chromium","Sat Apr 18 22:59:35 UTC 2026","passed","Sat Apr 18 22:59:36 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","790","Senaryo 9: Ürün Detay Sayfası","firefox","Sat Apr 18 22:59:53 UTC 2026","passed","Sat Apr 18 22:59:54 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","950","Senaryo 4: Sepetten Ürün Çıkarma","firefox","Sat Apr 18 22:59:47 UTC 2026","passed","Sat Apr 18 22:59:48 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","735","Senaryo 5: Ürün Sıralama (Price Low to High)","chromium","Sat Apr 18 22:59:36 UTC 2026","passed","Sat Apr 18 22:59:36 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","847","Senaryo 3: Ürün Sepete Ekleme","chromium","Sat Apr 18 22:59:34 UTC 2026","passed","Sat Apr 18 22:59:35 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1577","Senaryo 1: Başarılı Login","firefox","Sat Apr 18 22:59:42 UTC 2026","passed","Sat Apr 18 22:59:43 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","580","Senaryo 10: Cross-browser / Smoke Test","chromium","Sat Apr 18 22:59:41 UTC 2026","passed","Sat Apr 18 22:59:41 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1821","Senaryo 8: Logout İşlemi","firefox","Sat Apr 18 22:59:51 UTC 2026","passed","Sat Apr 18 22:59:53 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","635","Senaryo 2: Hatalı Login","firefox","Sat Apr 18 22:59:44 UTC 2026","passed","Sat Apr 18 22:59:44 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","633","Senaryo 1: Başarılı Login","chromium","Sat Apr 18 22:59:33 UTC 2026","passed","Sat Apr 18 22:59:33 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","868","Senaryo 5: Ürün Sıralama (Price Low to High)","firefox","Sat Apr 18 22:59:48 UTC 2026","passed","Sat Apr 18 22:59:49 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","522","Senaryo 2: Hatalı Login","chromium","Sat Apr 18 22:59:33 UTC 2026","passed","Sat Apr 18 22:59:34 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1418","Senaryo 6: Başarılı Checkout","firefox","Sat Apr 18 22:59:49 UTC 2026","passed","Sat Apr 18 22:59:50 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1049","Senaryo 6: Başarılı Checkout","chromium","Sat Apr 18 22:59:36 UTC 2026","passed","Sat Apr 18 22:59:37 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1014","Senaryo 7: Checkout - Zorunlu Alan Kontrolü","firefox","Sat Apr 18 22:59:50 UTC 2026","passed","Sat Apr 18 22:59:51 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
