"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","836","Senaryo 4: Sepetten Ürün Çıkarma","chromium","Fri Apr 17 06:10:21 UTC 2026","passed","Fri Apr 17 06:10:22 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","620","Senaryo 9: Ürün Detay Sayfası","chromium","Fri Apr 17 06:10:27 UTC 2026","passed","Fri Apr 17 06:10:27 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","842","Senaryo 1: Başarılı Login","chromium","Fri Apr 17 06:10:18 UTC 2026","passed","Fri Apr 17 06:10:18 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","571","Senaryo 10: Cross-browser / Smoke Test","chromium","Fri Apr 17 06:10:27 UTC 2026","passed","Fri Apr 17 06:10:28 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","945","Senaryo 4: Sepetten Ürün Çıkarma","firefox","Fri Apr 17 06:10:34 UTC 2026","passed","Fri Apr 17 06:10:35 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","635","Senaryo 2: Hatalı Login","firefox","Fri Apr 17 06:10:32 UTC 2026","passed","Fri Apr 17 06:10:33 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","2136","Senaryo 1: Başarılı Login","firefox","Fri Apr 17 06:10:28 UTC 2026","passed","Fri Apr 17 06:10:30 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","845","Senaryo 3: Ürün Sepete Ekleme","chromium","Fri Apr 17 06:10:21 UTC 2026","passed","Fri Apr 17 06:10:21 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","668","Senaryo 10: Cross-browser / Smoke Test","firefox","Fri Apr 17 06:10:41 UTC 2026","passed","Fri Apr 17 06:10:42 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","813","Senaryo 9: Ürün Detay Sayfası","firefox","Fri Apr 17 06:10:40 UTC 2026","passed","Fri Apr 17 06:10:41 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","620","Senaryo 1: Başarılı Login","chromium","Fri Apr 17 06:10:19 UTC 2026","passed","Fri Apr 17 06:10:20 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1302","Senaryo 6: Başarılı Checkout","firefox","Fri Apr 17 06:10:36 UTC 2026","passed","Fri Apr 17 06:10:37 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","635","Senaryo 2: Hatalı Login","firefox","Fri Apr 17 06:10:31 UTC 2026","passed","Fri Apr 17 06:10:32 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","719","Senaryo 7: Checkout - Zorunlu Alan Kontrolü","chromium","Fri Apr 17 06:10:24 UTC 2026","passed","Fri Apr 17 06:10:25 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1802","Senaryo 8: Logout İşlemi","firefox","Fri Apr 17 06:10:38 UTC 2026","passed","Fri Apr 17 06:10:40 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1036","Senaryo 3: Ürün Sepete Ekleme","firefox","Fri Apr 17 06:10:33 UTC 2026","passed","Fri Apr 17 06:10:34 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","554","Senaryo 2: Hatalı Login","chromium","Fri Apr 17 06:10:20 UTC 2026","passed","Fri Apr 17 06:10:21 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1649","Senaryo 8: Logout İşlemi","chromium","Fri Apr 17 06:10:25 UTC 2026","passed","Fri Apr 17 06:10:27 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","623","Senaryo 2: Hatalı Login","chromium","Fri Apr 17 06:10:19 UTC 2026","passed","Fri Apr 17 06:10:19 UTC 2026","Kimlik Doğrulama Testleri","auth.spec.ts","",""
"","1011","Senaryo 5: Ürün Sıralama (Price Low to High)","firefox","Fri Apr 17 06:10:35 UTC 2026","passed","Fri Apr 17 06:10:36 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","999","Senaryo 7: Checkout - Zorunlu Alan Kontrolü","firefox","Fri Apr 17 06:10:37 UTC 2026","passed","Fri Apr 17 06:10:38 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","1068","Senaryo 6: Başarılı Checkout","chromium","Fri Apr 17 06:10:23 UTC 2026","passed","Fri Apr 17 06:10:24 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","765","Senaryo 5: Ürün Sıralama (Price Low to High)","chromium","Fri Apr 17 06:10:22 UTC 2026","passed","Fri Apr 17 06:10:23 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
"","749","Senaryo 1: Başarılı Login","firefox","Fri Apr 17 06:10:32 UTC 2026","passed","Fri Apr 17 06:10:32 UTC 2026","SauceDemo Senior QA Suite","products.spec.ts","",""
